,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget,release_date,popularity
101,Ralph Breaks the Internet,"Animation, Adventure, Comedy",tt5848272,112.0,7.1,529323962,201091711,175000000.0,2018-11-20,32.467
102,Tangled,"Animation, Adventure, Comedy",tt0398286,100.0,7.8,592461732,200821936,260000000.0,2010-11-24,21.4
103,Godzilla,"Action, Adventure, Sci-Fi",tt0831387,123.0,6.4,524976069,200676069,160000000.0,2014-05-14,21.662
104,Spectre,"Action, Adventure, Thriller",tt2379713,148.0,6.8,880674609,200074175,245000000.0,2015-10-26,33.741
105,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",tt2381249,131.0,7.4,682714267,195042377,150000000.0,2015-07-23,28.999
106,22 Jump Street,"Action, Comedy, Crime",tt2294449,112.0,7.0,331333876,191719337,50000000.0,2014-06-05,15.39
107,Cars 2,"Animation, Adventure, Comedy",tt1216475,106.0,6.2,559852396,191452396,200000000.0,2011-06-11,24.339
108,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",tt1291150,101.0,5.8,485004754,191204754,125000000.0,2014-08-07,39.591
109,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",tt4633694,117.0,8.5,375540831,190241310,90000000.0,2018-12-06,42.732
110,Wreck-It Ralph,"Animation, Adventure, Comedy",tt1772341,101.0,7.7,471222889,189422889,165000000.0,2012-11-01,25.193
111,Dunkirk,"Action, Drama, History",tt5013056,106.0,7.9,525245546,188373161,100000000.0,2017-07-19,30.166
112,Interstellar,"Adventure, Drama, Sci-Fi",tt0816692,169.0,8.6,677463813,188020017,165000000.0,2014-11-05,64.442
113,The Croods,"Animation, Action, Adventure",tt0481499,98.0,7.2,587204668,187168425,135000000.0,2013-03-20,16.099
114,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery",tt1515091,129.0,7.5,543848418,186848418,125000000.0,2011-11-22,28.458
115,Pitch Perfect 2,"Comedy, Music",tt2848292,115.0,6.4,287144079,184296230,29000000.0,2015-05-07,26.951
116,The Revenant,"Action, Adventure, Biography",tt1663202,156.0,8.0,532950503,183637894,135000000.0,2015-12-25,22.98
117,Lincoln,"Biography, Drama, History",tt0443272,150.0,7.4,275293450,182207973,65000000.0,2012-11-09,17.367
118,Thor,"Action, Adventure, Fantasy",tt0800369,115.0,7.0,449326618,181030624,150000000.0,2011-04-21,30.511
119,Ant-Man,"Action, Adventure, Comedy",tt0478970,117.0,7.3,519311965,180202163,130000000.0,2015-07-14,33.361999999999995
120,Men in Black 3,"Action, Adventure, Comedy",tt1409024,106.0,6.8,624026776,179020854,225000000.0,2012-05-23,22.926
122,How to Train Your Dragon 2,"Animation, Action, Adventure",tt1646971,102.0,7.8,621537519,177002924,145000000.0,2014-06-09,25.635
123,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",tt1318514,105.0,7.6,481800873,176760185,93000000.0,2011-08-03,24.602
124,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",tt0458339,124.0,6.9,370569774,176654505,140000000.0,2011-07-22,19.776
125,The Karate Kid,"Action, Drama, Family",tt1155076,140.0,6.2,359126022,176591618,40000000.0,2010-06-10,18.287
126,Get Out,"Horror, Mystery, Thriller",tt5052448,104.0,7.7,255407969,176040665,4500000.0,2017-02-24,29.093000000000004
127,The Lego Batman Movie,"Animation, Action, Comedy",tt4116284,104.0,7.3,311950384,175750384,80000000.0,2017-02-08,18.341
128,Us,"Horror, Mystery, Thriller",tt2708782,92.0,5.3,255184580,175084580,600000.0,2013-05-10,2.027
129,The Boss Baby,"Animation, Adventure, Comedy",tt3874544,97.0,6.3,527965936,175003033,125000000.0,2017-03-23,10.025
130,Crazy Rich Asians,"Comedy, Drama, Romance",tt3104988,120.0,7.0,238532921,174532921,30000000.0,2018-08-15,19.629
131,The Greatest Showman,"Biography, Drama, Musical",tt1485796,105.0,7.6,434993183,174340174,84000000.0,2017-12-20,30.193
132,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",tt1790809,129.0,6.6,794861794,172558876,230000000.0,2017-05-23,26.762
133,TRON: Legacy,"Action, Adventure, Sci-Fi",tt1104001,125.0,6.8,400062763,172062763,170000000.0,2010-12-10,16.445999999999998
134,Mary Poppins Returns,"Comedy, Family, Fantasy",tt5028340,130.0,6.9,349537494,171958438,130000000.0,2018-12-13,16.075
135,True Grit,"Drama, Western",tt1403865,110.0,7.6,252276927,171243005,38000000.0,2010-12-22,18.01
136,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller",tt6146586,131.0,8.0,326709727,171015687,55000000.0,2019-05-15,40.004
137,The Help,Drama,tt1454029,146.0,8.1,216639112,169708112,25000000.0,2011-08-09,14.362
138,Hotel Transylvania 2,"Animation, Comedy, Family",tt2510894,89.0,6.7,474800000,169700110,80000000.0,2015-09-21,16.567999999999998
139,Hidden Figures,"Biography, Drama, History",tt4846340,127.0,7.8,235956898,169607287,25000000.0,2016-12-10,32.247
